item_name,model,type,store,amount,project,status,image_url
4 by 4 matrix keypad,-,item:-,,18,,available,
Colour sensor light,-,item:-,,5,,available,
Prototype shield,-,item:-,,7,,available,
Ultrasonic sensor,-,item:-,,12,,available,
Ultrasonic Sensor,-,item:-,,12,,available,
Breadboard,-,item:-,,16,,available,
3D pen,-,item:-,,15,,available,
Stepper motor and Tyre,-,item:-,,0,,available,
Peltier tool,-,item:-,,0,,available,
Arduino Uno,-,item:-,,9,,available,
Castor wheel,-,item:-,,0,,available,
RFID,-,item:-,,10,,available,
Vibration Module,-,item:-,,2,,available,
MP3 SD Card,-,item:-,,9,,available,
ESPS,-,item:-,,8,,available,
Wheels,-,item:-,,20,,available,
Power Switch,-,item:-,,8,,available,
Buzzer,-,item:-,,11,,available,
Infra-red,-,item:-,,11,,available,
Vero-board,-,item:-,,17,,available,
Solar panel,-,item:-,,2,,available,
Led light,-,item:-,,0,,available,
4 x 4 matrix keypad - Matrix compitable,-,item:-,,3,,available,
Tactie button,-,item:-,,73,,available,
Male header,-,item:-,,30,,available,
Tactie button extras,-,item:-,,34,,available,
Water sensor,-,item:-,,10,,available,
Potentiometer,-,item:-,,20,,available,
Motor driver board,-,item:-,,10,,available,
Battery holder,-,item:-,,4,,available,
Cable heat Shrink,-,item:-,,0,,available,
RGB led module,-,item:-,,5,,available,
"Jumper cables (Male - Male, Female - Female, Male - Female",-,item:-,,0,,available,
We-do 2.0,-,item:-,,0,,available,
"Biology, Physics and Chemistry Science set",-,item:-,,0,,available,
Male Header,-,item:-,,43,,available,
8 x 8 Matrix,-,item:-,,11,,available,
Resistor,-,item:-,,0,,available,
mBot Educational Robot Kit,-,item:-,,0,,available,
madeblock,-,item:-,,0,,available,
LCD,-,item:-,,13,,available,
PIR Motion Sensor,-,item:-,,2,,available,
Joystick,-,item:-,,10,,available,
Servo,-,item:-,,19,,available,
7 Segment Display,-,item:-,,32,,available,
Screw Drivers,-,item:-,,16,,available,
Asuno HD Low power battery camera,-,item:-,,2,,available,
Sodering Iron,-,item:-,,3,,available,
Glue gun,-,item:-,,7,,available,
DJI Drones,-,item:-,,2,,available,
Headphone,-,item:-,,3,,available,
Cardboard VR,-,item:-,,3,,available,
Charger Head (ASUS),-,item:-,,4,,available,
Arduino Kit,-,item:-,,0,,available,
DIY Scissors,-,item:-,,12,,available,
5 Meter VR Cable,-,item:-,,1,,available,
Disposable ear-piece,-,item:-,,10,,available,
Water Pump,-,item:-,,6,,available,
Imuto AA Battery,-,item:-,,8,,available,
Sensor Kit 2.0,-,item:-,,1,,available,
Oculus VR Headset,-,item:-,,2,,available,
amtech 12v battery charger,-,item:-,,1,,available,
Filament,-,item:-,,5,,available,
Bambu Lab A1 mini,-,item:-,,1,,available,
Ender 3D Printer,-,item:-,,1,,available,
Printing Machine,-,item:-,,1,,available,
3D Printing Filament,-,item:-,,2,,available,
3D Printing bed,-,item:-,,1,,available,
3d Glue Stick,-,item:-,,3,,available,
